epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.475,2.87929,42.2115,0.73989,0,0,0,0,3.9722,46.3919,0.72333,0.00052,0.00052,0.00052
2,315.503,3.68173,27.734,0.90177,0,0,0,0,3.55672,39.0922,0.7094,0.00095506,0.00095506,0.00095506
3,471.216,3.85897,22.6934,0.90442,0.00033,0.06931,0.00746,0.00139,3.76163,16.0405,0.7071,0.0012832,0.0012832,0.0012832
4,575.27,3.6977,17.3521,0.92922,0.00018,0.0396,0.0024,0.00026,3.23171,13.1779,0.63549,0.001406,0.001406,0.001406
5,662.304,3.67299,15.5463,0.87248,0.44003,0.0297,0.02072,0.00332,3.58724,14.3435,0.67044,0.001208,0.001208,0.001208
6,754.218,3.52803,14.4864,0.81881,0.49714,0.0495,0.04871,0.00555,3.60469,11.5856,0.71348,0.00101,0.00101,0.00101
7,841.131,4.00542,13.1341,0.87293,0.12463,0.0198,0.0098,0.00119,3.55774,10.6967,0.70416,0.000812,0.000812,0.000812
8,932.076,3.58465,10.4585,0.88718,0.17024,0.0297,0.01778,0.00234,3.37115,9.71298,0.67273,0.000614,0.000614,0.000614
9,1078.2,3.3413,9.88106,0.82768,0.1883,0.0396,0.02443,0.0034,3.27205,8.75844,0.6748,0.000416,0.000416,0.000416
10,1166.91,3.39335,9.89987,0.86784,0.25649,0.06931,0.03623,0.00619,3.09763,8.29789,0.6629,0.000218,0.000218,0.000218
